ID;L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20
55;1;3;7;10;20;21;27;29;31;33;34;39;40;43;45;56;59;60;72;79
56;1;6;8;12;15;21;23;30;35;41;44;48;49;53;64;65;66;71;72;80
57;1;2;4;5;19;20;21;24;30;40;42;44;46;49;53;67;72;75;76;79
58;4;5;8;10;19;21;27;30;31;32;39;46;48;56;66;67;69;73;76;78
59;1;3;4;13;16;19;20;22;25;26;29;30;31;38;40;50;61;62;64;78
60;4;5;6;7;8;9;11;22;24;30;33;37;40;54;56;61;64;67;70;71
61;5;9;14;15;18;20;22;26;31;35;36;38;40;41;46;47;51;56;59;68
62;9;11;16;17;18;21;27;34;39;42;54;60;61;62;65;66;69;72;79;80
63;5;8;9;21;24;25;29;30;34;40;45;46;47;48;53;61;63;69;73;75
64;8;10;11;20;22;29;40;43;45;47;62;64;65;67;68;69;70;71;72;74
65;3;6;8;9;10;13;16;18;19;20;22;30;33;34;41;44;45;63;68;80
66;5;9;10;15;22;25;26;27;32;34;37;38;59;60;65;66;67;72;74;75
67;6;7;8;11;18;22;24;26;27;29;33;37;38;47;48;64;65;66;70;77
68;2;14;17;18;19;22;24;27;30;37;39;42;46;47;56;62;67;72;77;78
69;2;4;5;13;14;16;18;20;22;31;34;35;38;41;44;45;54;60;61;73
70;1;13;18;19;21;23;31;32;33;35;38;45;62;64;66;67;69;70;73;75
71;5;6;8;12;13;15;16;17;18;19;24;26;35;38;61;68;69;70;77;79
72;2;4;5;9;13;22;23;33;37;41;42;43;45;51;54;64;65;70;75;80
73;4;5;7;13;15;20;21;22;27;29;34;43;50;61;62;64;68;72;73;74
74;1;9;10;13;17;20;22;24;27;32;38;43;47;61;67;69;70;72;77;80
75;1;2;7;9;12;13;19;26;32;42;45;47;61;65;66;68;70;71;76;78
76;4;5;11;13;14;21;22;26;32;33;37;39;43;54;61;70;71;77;78;79
77;4;5;11;12;23;37;39;45;46;48;49;52;57;60;65;68;71;73;74;76
78;3;4;11;13;14;15;19;21;22;31;41;42;44;47;57;63;68;71;72;74
79;2;3;7;9;14;17;19;22;31;32;34;37;44;53;60;62;68;70;71;77
80;14;15;16;19;21;23;26;29;30;32;35;39;46;47;49;63;65;75;77;78
81;6;12;13;14;18;19;29;31;36;39;41;45;47;55;63;64;65;68;75;78
82;4;6;15;17;25;28;29;35;43;44;50;53;56;66;68;71;74;75;78;80
83;1;3;8;11;13;16;17;28;33;41;42;43;48;54;56;62;68;75;78;80
84;7;8;9;11;12;14;15;19;24;32;33;35;50;54;57;64;71;76;77;78
85;13;20;21;22;31;32;33;35;39;42;60;61;66;69;72;73;75;77;79;80
86;4;9;10;16;20;21;28;29;30;34;38;46;47;56;58;61;68;73;77;78
87;3;4;5;9;10;13;14;18;20;23;36;39;40;44;46;63;69;70;78;79
88;1;2;4;5;12;18;21;22;23;25;28;29;36;42;47;49;56;64;67;74
89;5;6;18;28;30;32;35;46;47;51;56;60;62;64;65;68;69;73;78;79
90;5;8;12;13;15;16;17;19;23;28;36;37;39;42;44;60;67;70;77;80
91;7;8;11;13;14;16;23;27;31;32;35;38;40;44;47;60;62;72;77;78
92;4;5;14;16;17;19;25;27;28;38;41;42;49;51;57;69;71;76;77;80
93;7;10;14;18;20;23;28;32;34;36;38;39;40;41;47;49;64;66;72;78
94;12;13;18;20;21;24;31;34;38;43;47;51;61;64;67;72;73;75;77;78
95;1;3;8;9;18;22;23;25;39;41;45;49;52;54;55;63;74;76;78;79
96;3;7;10;19;24;26;29;32;34;40;41;42;46;48;51;62;73;77;79;80
97;3;7;17;18;26;28;31;34;36;39;40;43;46;52;53;60;61;64;71;77
98;3;5;8;22;26;36;44;46;50;52;54;61;66;68;69;70;74;75;76;77
99;11;12;15;16;17;18;19;21;36;37;40;41;44;49;60;69;71;75;77;80
100;1;6;7;10;12;14;17;23;26;34;36;45;46;48;54;61;65;76;78;80
101;3;8;9;11;15;16;18;19;20;22;26;32;36;40;41;43;55;69;74;80
102;1;4;7;10;12;15;17;18;28;31;34;38;40;45;57;62;72;76;77;78
103;2;6;8;16;22;24;25;27;36;38;39;41;42;46;49;56;59;62;63;66
104;4;7;14;16;22;26;27;30;31;36;37;40;43;45;48;65;67;70;73;75
105;2;5;14;15;17;21;34;36;41;42;43;46;49;51;53;66;67;73;74;76
106;1;4;5;7;9;16;24;29;30;35;37;42;46;48;52;59;67;70;71;72
107;3;5;6;9;11;17;20;23;25;35;41;43;47;56;57;60;65;73;76;77
108;2;4;9;11;19;20;25;27;28;37;38;39;42;49;53;54;62;67;76;78
109;4;6;7;8;12;17;19;29;30;32;34;36;37;42;51;62;64;72;76;78
110;1;2;9;13;17;18;23;29;30;31;32;34;37;38;41;62;69;74;75;79
111;1;5;8;23;25;29;31;33;35;36;38;43;46;53;57;61;62;66;71;78
112;3;5;7;8;14;15;25;31;33;40;43;46;53;62;63;66;69;72;75;79
113;6;12;14;16;17;18;21;23;29;35;39;40;41;43;47;53;61;69;76;77
114;2;5;10;11;16;17;20;21;24;25;26;44;46;61;65;68;75;76;78;79
115;4;9;10;12;13;14;15;22;23;25;26;27;29;44;45;48;49;55;76;77
116;4;7;16;18;23;25;29;35;43;45;48;51;52;53;60;64;69;75;77;78
117;6;10;11;13;14;17;19;20;22;25;27;29;39;41;44;46;47;53;62;63
118;1;4;10;24;25;27;33;34;35;36;42;45;47;52;63;67;71;74;78;79
119;2;10;14;16;21;29;30;34;39;41;45;47;50;54;58;64;70;71;74;79
120;1;8;10;11;12;13;16;17;27;29;34;37;38;57;62;67;68;71;77;78
121;6;8;14;22;26;31;32;38;40;44;47;48;54;62;66;67;70;72;74;75
122;3;4;7;9;12;17;19;24;25;26;30;34;40;41;44;67;70;77;78;79
123;2;8;15;23;28;30;32;41;43;45;46;62;63;64;66;70;72;73;76;78
124;2;6;13;14;16;17;21;22;24;25;26;29;35;44;56;62;66;69;70;72
125;3;4;7;9;13;38;41;42;44;45;46;47;49;64;67;73;74;75;78;79
126;1;7;8;10;11;15;19;33;37;38;42;44;46;61;62;65;66;67;79;80
127;1;2;5;11;12;14;26;37;38;40;43;46;47;48;49;62;65;66;73;80
128;4;5;12;18;20;28;31;32;37;39;42;43;49;53;57;60;61;65;74;77
129;1;11;17;20;22;24;29;34;42;56;59;62;65;67;70;71;73;75;77;80
130;1;4;5;11;20;24;27;32;34;36;41;42;43;45;62;65;66;67;70;79
131;1;12;13;20;38;42;44;47;48;53;55;59;60;65;68;70;71;73;78;79
132;3;11;22;24;27;37;38;40;45;49;52;57;62;63;66;67;68;73;74;77
133;2;4;7;14;16;23;26;28;29;30;31;35;39;44;45;49;56;70;71;79
134;1;5;9;21;22;25;28;29;30;32;42;51;54;61;65;68;69;71;77;79
135;10;11;14;15;19;22;28;30;40;45;47;51;56;57;64;65;69;71;78;79
136;4;5;6;8;13;14;20;25;26;27;28;31;32;41;55;61;62;65;76;79
137;2;7;8;9;11;14;16;17;24;34;36;41;45;47;57;59;61;62;68;77
138;5;7;15;16;19;22;29;30;31;36;43;44;62;67;71;72;74;75;77;80
139;1;3;5;9;10;13;17;22;25;30;33;34;37;51;58;60;65;76;77;78
140;1;7;9;12;15;18;23;25;27;30;32;36;39;42;46;48;68;72;76;78
141;7;11;12;17;19;22;24;27;32;35;36;41;45;48;61;67;71;75;79;80
142;4;5;12;13;14;19;26;27;29;39;41;45;47;49;53;63;68;72;74;77
143;3;4;10;12;14;15;21;22;23;31;33;35;39;40;57;60;64;67;71;74
144;2;5;10;16;21;22;27;28;29;30;33;34;35;40;46;57;60;68;70;74
145;3;5;8;9;11;12;20;23;30;31;34;43;46;50;55;67;71;73;74;77
146;14;15;19;20;21;22;25;28;37;41;44;47;49;61;64;72;74;75;78;80
147;2;7;8;16;19;21;25;26;29;30;32;39;41;43;46;70;73;78;79;80
148;1;10;12;13;20;22;23;28;31;36;40;45;49;52;62;65;67;68;74;79
149;5;9;15;16;19;20;22;29;33;34;36;45;47;49;52;63;66;70;72;74
150;6;10;15;16;17;19;21;23;25;41;45;46;48;60;62;68;69;70;77;80
151;1;3;7;14;20;21;22;26;28;33;36;39;40;44;61;62;64;65;67;71
152;3;5;9;10;24;25;29;30;32;33;39;60;61;63;71;75;77;78;79;80
153;6;9;10;12;19;25;28;32;35;37;41;44;46;51;61;67;70;74;77;79
154;3;4;15;19;31;35;36;38;41;51;55;58;62;63;68;70;71;73;74;79
155;1;3;6;12;15;18;19;20;23;29;40;49;54;61;62;66;75;77;79;80
156;3;5;6;11;12;13;14;17;27;28;40;43;44;47;55;59;60;64;67;77
157;2;7;9;11;16;21;22;24;27;28;34;35;37;42;44;45;46;47;65;77
158;3;6;10;19;20;22;30;34;36;38;39;41;45;46;47;49;51;53;57;62
159;2;4;8;12;15;18;23;31;33;38;46;49;53;60;64;67;69;72;73;79
160;1;2;5;8;15;16;20;24;31;34;37;39;48;60;62;67;73;74;75;77
161;1;5;10;11;13;21;22;23;29;30;36;40;44;48;56;61;62;67;75;80
162;1;2;8;12;17;19;20;21;24;25;29;33;36;41;45;65;68;70;73;79
163;3;5;14;17;19;21;26;30;32;33;34;36;42;47;53;55;57;63;65;78
164;6;7;21;27;34;35;36;43;45;48;49;56;58;60;70;71;73;74;75;80
165;5;11;13;15;19;21;24;30;33;36;37;38;43;44;45;56;61;67;73;77
166;7;11;19;22;24;31;32;35;37;42;48;59;60;62;67;71;72;77;78;80
167;2;3;5;9;15;20;27;28;33;38;39;41;42;62;63;66;72;75;77;78
168;4;5;9;12;15;16;21;22;29;33;35;37;38;40;49;52;54;65;78;80
169;8;9;15;18;19;21;26;31;33;37;39;45;46;57;65;68;69;72;74;75
170;1;5;9;13;14;16;17;18;21;25;29;32;35;44;53;64;71;76;78;79
171;9;12;14;25;30;32;40;41;42;43;44;45;48;49;52;56;61;62;63;77
172;1;7;8;14;19;22;24;27;28;34;38;42;46;60;61;65;70;76;77;78
173;2;4;16;20;23;27;28;36;37;38;40;46;47;53;58;61;64;69;72;80
174;5;7;14;24;26;30;31;32;37;38;40;46;48;51;62;66;67;71;73;80
175;3;8;9;11;13;16;18;19;25;26;27;32;33;35;49;56;61;67;69;75
176;1;3;7;8;9;14;20;23;29;36;37;48;56;58;59;60;64;69;70;72
177;3;7;11;12;13;16;18;21;28;30;36;49;53;54;61;64;72;73;76;77
178;1;2;7;11;15;23;27;28;31;32;33;37;44;49;54;60;62;66;70;76
179;7;11;15;16;22;28;30;38;39;44;48;49;55;57;60;61;63;69;71;80
180;9;11;19;20;21;22;24;25;26;30;32;33;40;44;49;50;57;62;65;66
181;2;3;4;7;14;20;23;33;34;36;41;42;54;58;61;62;63;64;71;73
182;2;6;7;10;16;18;23;24;27;28;30;35;36;41;47;50;54;75;76;77
183;2;3;8;14;15;16;23;27;37;40;41;43;46;47;61;67;72;73;75;76
184;5;8;14;22;25;30;33;36;38;40;60;61;62;63;65;66;71;73;75;77
185;1;2;11;13;17;23;28;31;39;40;41;47;48;51;53;58;62;71;73;80
186;1;4;14;17;19;22;38;42;53;56;57;64;66;67;68;69;70;76;79;80
187;1;2;6;9;11;19;23;26;28;35;38;39;57;58;60;62;73;75;76;78
188;1;3;4;7;11;13;19;20;25;30;44;46;50;60;62;71;74;75;76;80
189;13;16;24;27;28;32;34;37;40;43;46;49;58;60;62;67;69;70;72;76
190;1;7;8;16;18;19;22;34;35;39;42;45;51;63;64;67;73;77;78;79
191;13;15;16;17;24;25;32;36;40;42;47;58;62;63;65;66;68;73;75;78
192;7;8;13;14;16;20;23;26;33;43;47;62;63;69;70;71;73;75;77;79
193;1;2;4;10;11;15;16;22;23;25;32;42;43;44;46;48;61;71;73;78
194;3;5;10;13;17;18;22;24;33;35;39;40;44;47;48;57;62;71;78;80
195;5;10;18;20;23;29;40;42;44;45;48;51;54;56;62;64;66;70;71;78
196;3;6;8;11;12;19;20;23;25;28;29;36;41;42;61;62;70;71;72;77
197;13;19;21;22;23;26;31;32;37;39;41;49;57;58;60;65;66;68;74;77
198;5;9;10;11;17;19;21;26;27;29;37;45;47;48;55;56;61;62;71;76
199;1;11;14;15;21;23;24;26;33;35;36;46;49;53;60;63;65;71;73;75
200;18;24;27;28;29;30;35;36;38;44;45;46;47;53;54;66;69;70;74;79
201;3;4;9;10;14;25;27;29;31;32;39;42;45;49;59;60;62;68;72;80
202;3;11;14;15;17;22;23;35;37;38;42;45;46;52;62;68;72;74;75;78
203;6;9;16;18;22;29;32;33;36;38;44;45;52;55;56;60;65;67;75;79
204;2;3;5;10;16;20;24;27;28;30;31;33;40;41;45;46;64;67;69;80
205;6;9;15;17;21;29;32;35;38;40;41;55;62;65;67;68;71;74;77;78
206;3;4;5;6;8;12;14;15;18;27;34;38;39;42;46;50;65;66;75;76
207;13;15;16;21;23;34;36;37;40;43;54;59;61;66;67;68;70;72;75;77
208;3;11;17;18;29;35;37;38;40;48;54;55;56;59;67;68;69;71;74;78
209;4;5;16;17;19;21;26;30;40;51;52;59;62;63;67;68;74;77;78;79
210;4;5;10;13;15;18;22;26;29;31;32;36;42;48;55;59;74;75;77;78
211;1;3;4;8;9;11;18;25;30;31;34;37;41;44;49;65;68;72;73;76
212;1;3;7;12;14;15;21;25;27;29;32;39;41;45;52;63;67;73;76;78
213;1;3;9;10;22;27;30;32;38;44;51;54;55;56;59;62;63;75;76;80
214;2;3;8;14;21;26;31;33;35;37;39;43;44;57;60;61;65;68;75;77
215;5;6;14;22;25;26;27;31;33;35;37;49;51;53;55;56;59;64;67;70
216;4;5;6;8;12;16;29;35;36;37;39;41;42;45;47;57;64;66;77;80
217;8;9;17;18;19;24;31;41;43;47;48;49;53;55;61;66;72;73;77;78
218;3;5;11;14;18;33;35;37;38;40;43;46;48;52;57;58;64;66;74;79
219;6;10;12;13;15;16;17;18;20;25;28;29;31;33;49;53;60;62;77;79
220;3;4;5;12;13;16;23;27;29;33;36;38;44;48;53;60;67;72;77;79
221;2;7;12;16;23;26;29;31;37;46;47;49;52;62;64;67;69;70;74;75
222;5;6;8;11;13;14;17;22;24;28;35;40;43;46;49;63;66;68;69;80
223;1;9;10;15;17;24;25;26;32;34;44;46;49;55;56;62;66;69;72;75
224;3;12;15;16;21;29;32;39;42;47;49;50;59;60;64;65;69;72;73;80
225;6;13;16;21;31;32;33;38;39;45;48;50;56;62;64;69;71;73;77;80
226;3;5;7;15;18;22;26;27;28;34;35;36;38;41;47;49;61;66;74;77
227;3;10;20;31;34;39;42;44;45;46;50;61;62;63;67;72;73;76;77;78
228;9;12;14;23;26;30;31;40;42;44;45;49;54;55;56;63;71;74;77;78
229;10;11;13;17;18;20;30;31;34;38;39;42;47;48;57;58;61;70;72;76
230;5;7;8;10;22;24;26;29;35;37;38;39;41;42;43;44;49;64;71;78
231;2;5;6;7;10;12;15;30;31;32;48;49;51;62;66;67;68;71;75;79
232;1;2;7;15;16;19;20;28;30;32;40;43;47;49;63;64;65;70;73;74
233;1;5;9;13;14;17;21;22;27;28;29;35;42;59;64;67;71;74;75;79
234;7;8;9;11;15;18;20;24;38;45;46;52;64;65;66;67;68;70;79;80
235;4;5;6;10;14;27;30;42;43;44;45;54;55;59;61;62;63;64;72;73
236;9;11;12;16;18;19;22;23;26;29;30;40;51;52;54;62;65;73;74;78
237;8;20;21;27;34;36;37;38;39;41;45;49;50;53;60;62;64;72;73;75
238;4;6;8;9;13;19;22;24;29;39;43;49;53;60;67;69;71;73;76;79
239;1;4;6;9;10;11;14;15;21;24;35;39;43;49;61;64;65;75;76;79
240;2;8;9;24;28;33;35;38;42;51;59;60;61;66;72;73;74;76;79;80
241;4;5;8;18;20;22;24;31;34;36;39;41;44;54;60;62;65;72;73;75
242;1;12;13;14;26;27;32;33;42;46;49;52;61;62;63;66;67;70;71;72
243;3;16;18;20;27;28;32;35;37;43;47;49;62;63;65;69;70;74;77;79
244;3;6;9;11;18;21;22;23;29;30;40;42;54;61;64;72;74;75;77;80
245;1;7;12;13;14;19;20;25;28;29;33;39;40;41;42;45;61;68;70;72
246;7;9;10;12;19;20;21;24;29;32;34;49;58;59;61;62;73;78;79;80
247;7;13;15;23;25;37;38;41;52;55;56;59;60;61;63;64;65;71;75;78
248;9;15;24;28;32;36;40;42;49;53;54;56;64;65;66;68;71;72;75;80
249;10;16;18;21;23;26;28;31;33;34;36;44;45;62;64;66;67;69;74;80
250;2;3;4;6;15;16;18;28;31;39;42;43;50;51;53;58;59;68;73;78
251;6;8;9;19;26;27;30;39;42;44;46;52;59;61;62;67;69;72;75;76
252;4;6;10;12;14;16;22;27;33;35;38;43;48;61;67;68;69;70;71;77
253;7;9;17;18;21;26;31;32;33;35;42;43;44;48;59;63;67;75;77;78
254;4;7;11;14;27;34;35;36;41;44;48;49;57;62;66;68;74;75;78;80
255;3;6;9;11;12;14;15;19;20;24;26;28;32;34;35;38;54;56;70;80
256;12;18;21;22;23;27;30;34;35;36;38;39;42;46;49;55;58;64;65;68
257;1;5;9;13;17;23;25;27;29;30;42;58;60;61;64;69;72;75;77;79
258;3;13;14;15;23;27;34;40;41;44;46;48;52;59;61;63;66;67;72;76
259;1;5;6;11;13;16;19;21;22;27;28;29;30;31;32;35;42;57;68;71
260;5;7;9;11;13;14;17;30;33;38;40;44;52;63;64;66;71;74;76;77
261;2;3;9;10;11;12;17;23;26;39;42;43;55;59;60;62;65;68;76;79
262;1;3;4;5;8;19;31;34;35;38;44;45;47;58;66;71;73;74;78;80
263;14;18;22;27;29;34;35;36;40;50;51;52;55;62;63;69;72;74;75;78
264;4;7;12;16;17;18;23;24;25;34;36;38;44;45;48;54;60;70;72;77
265;2;4;9;11;12;19;25;26;27;38;48;53;54;55;62;65;72;73;75;79
266;5;11;13;20;26;31;33;38;42;46;47;56;57;60;62;65;66;72;74;77
267;1;4;9;13;14;19;20;22;24;32;33;34;35;39;41;48;66;77;78;80
268;3;6;12;19;24;30;38;41;43;47;56;57;60;62;65;66;67;73;76;80
269;1;2;4;10;13;15;16;19;23;24;25;34;40;41;48;58;60;64;68;78
270;2;9;18;20;25;28;29;37;43;45;47;48;50;54;55;56;62;63;66;80
271;1;7;9;12;22;23;26;27;43;46;50;51;52;57;61;64;65;66;75;80
272;5;6;25;27;33;39;42;45;46;48;50;62;63;66;69;71;74;75;76;80
273;1;5;9;11;15;17;20;26;28;31;34;35;38;41;42;45;48;69;74;79
274;10;13;14;17;23;29;30;31;40;42;51;54;55;58;62;64;65;67;68;76
275;3;6;8;14;23;24;25;27;29;32;36;50;51;58;60;65;75;76;77;80
276;4;5;7;10;11;21;25;29;32;35;41;48;49;57;64;65;68;74;78;80
277;1;7;8;10;12;17;18;28;36;41;42;44;45;47;49;60;65;68;71;77
278;3;4;6;9;13;17;23;24;27;30;35;46;47;49;50;54;60;62;76;78
279;4;11;17;23;26;30;34;40;41;43;52;53;55;60;63;67;71;73;77;78
280;2;4;5;7;10;13;14;16;25;34;35;38;39;47;49;54;59;70;75;80
281;2;3;8;9;23;29;34;36;41;44;47;50;52;53;61;65;67;70;71;72
282;1;2;4;16;20;22;29;30;34;35;36;40;41;42;45;49;64;70;71;74
283;1;2;4;12;18;20;22;24;29;34;39;41;46;47;51;52;58;61;69;80
284;2;7;10;11;18;30;31;35;37;40;41;43;44;45;48;51;55;72;73;75
285;1;2;8;13;17;18;24;28;31;34;40;43;48;53;56;65;68;69;72;80
286;3;10;16;23;27;29;32;33;34;41;46;49;52;64;65;66;70;71;75;76
287;2;4;5;8;9;18;21;27;29;41;43;45;57;64;65;66;69;70;73;80
288;1;8;9;18;27;29;32;36;38;41;49;51;62;66;68;69;70;73;74;77
289;4;7;9;11;13;14;17;20;25;28;33;40;44;46;52;60;64;69;73;76
290;31;32;33;36;38;39;40;41;43;48;60;61;62;66;69;70;73;74;76;77
291;3;4;6;10;15;18;22;28;30;31;32;35;37;41;42;43;48;60;68;77
292;6;7;8;12;18;19;20;22;29;33;40;45;47;49;53;61;64;65;68;80
293;6;8;11;13;15;16;21;23;25;26;32;41;42;60;65;66;70;71;72;80
294;3;4;6;9;10;20;22;24;27;29;30;33;42;46;47;51;59;65;67;68
295;3;8;9;11;13;16;17;21;26;27;30;31;37;45;49;51;59;61;68;72
296;1;15;24;28;29;34;41;43;48;51;53;55;59;62;63;67;69;72;73;76
297;11;15;19;21;22;27;37;39;41;45;46;57;59;64;65;69;71;72;75;79
298;4;7;12;13;18;20;22;29;32;39;45;46;48;60;61;66;68;72;73;75
299;2;3;4;5;16;18;22;23;25;27;32;43;45;46;47;55;66;68;70;72
300;3;5;7;9;10;16;24;26;30;31;34;40;41;46;47;50;65;68;75;80
301;2;3;4;12;13;16;17;22;23;25;26;28;34;36;41;52;60;62;74;80
302;4;5;7;14;15;20;24;26;27;31;32;35;37;39;50;67;68;71;72;77
303;1;3;7;13;19;29;32;35;37;43;44;46;48;52;57;67;72;74;77;79
304;4;5;7;12;14;15;22;33;34;35;38;46;49;56;60;66;67;68;69;79
305;1;5;16;17;25;29;37;49;51;61;62;63;65;67;71;74;75;76;77;80
306;3;10;11;14;18;25;28;31;34;38;39;42;52;55;61;64;67;68;72;74
307;14;16;21;22;24;25;30;34;38;41;44;47;51;53;55;57;62;73;79;80
308;2;4;5;6;11;13;21;22;28;35;44;50;51;52;57;61;66;70;73;77
309;9;11;16;23;26;27;30;32;33;38;47;48;49;62;66;68;70;72;74;79
310;2;3;6;9;13;17;21;24;28;34;36;38;40;53;60;69;70;71;75;77
311;6;10;11;12;13;28;31;32;37;41;42;43;51;60;62;67;68;70;74;80
312;7;10;19;23;29;33;34;41;42;43;44;45;50;51;67;71;76;77;79;80
313;2;4;6;7;9;12;16;17;20;27;30;33;35;36;46;47;59;66;67;75
314;5;6;15;17;18;20;22;23;28;33;36;51;62;63;65;69;70;72;73;74
315;5;6;11;12;14;15;19;21;22;28;30;34;39;40;44;50;52;70;73;80
316;1;4;8;11;17;20;21;22;30;33;39;41;44;50;60;67;73;77;78;79
317;4;7;10;13;18;24;26;27;30;34;38;43;48;49;59;62;74;75;78;79
318;4;5;6;13;15;27;29;34;35;43;47;50;54;56;58;59;65;70;73;78
319;2;4;7;15;17;20;23;26;34;37;39;40;51;52;53;55;56;58;60;74
320;1;3;5;11;13;14;17;18;19;22;26;34;43;50;52;56;61;63;64;80
321;1;5;13;16;18;21;22;27;31;39;40;42;43;45;49;51;56;59;69;79
322;12;13;14;16;24;30;33;35;36;39;42;44;50;55;60;62;63;65;77;78
323;2;10;15;23;28;31;33;35;38;42;47;49;51;52;57;59;66;69;76;80
324;11;15;17;18;19;21;32;33;36;43;44;45;46;54;56;57;61;62;74;80
325;1;8;15;16;18;22;24;28;32;35;36;37;38;40;46;53;54;63;65;72
326;6;11;22;24;27;28;31;34;39;40;42;46;48;50;51;53;56;66;68;69
327;7;8;11;13;15;16;19;20;22;34;35;37;39;40;45;46;47;48;68;79
328;7;13;23;29;38;39;41;43;44;46;47;49;50;60;64;65;68;69;71;76
329;1;8;14;22;24;26;27;29;32;33;34;40;43;47;53;57;59;69;70;78
330;2;5;7;14;18;19;21;22;28;31;35;36;43;44;47;52;54;55;79;80
